CMDLINE D:\Wrishav\floorOverlay\.venv\Scripts\python.exe .\app.py
MEM 6.664062 1750936474.8573
MEM 6.664062 1750936474.9580
MEM 6.664062 1750936475.0585
MEM 6.664062 1750936475.1592
MEM 6.664062 1750936475.2596
MEM 6.664062 1750936475.3602
MEM 6.664062 1750936475.4607
MEM 6.664062 1750936475.5613
MEM 6.664062 1750936475.6617
MEM 6.664062 1750936475.7621
MEM 6.664062 1750936475.8628
MEM 6.664062 1750936475.9634
MEM 6.664062 1750936476.0642
MEM 6.664062 1750936476.1652
MEM 6.664062 1750936476.2659
MEM 6.664062 1750936476.3667
MEM 6.664062 1750936476.4670
MEM 6.664062 1750936476.5696
MEM 6.664062 1750936476.6723
MEM 6.664062 1750936476.7738
MEM 6.664062 1750936476.8743
MEM 6.664062 1750936476.9750
MEM 6.664062 1750936477.0757
MEM 6.664062 1750936477.1762
MEM 6.664062 1750936477.2768
MEM 6.664062 1750936477.3772
MEM 6.664062 1750936477.4778
MEM 6.664062 1750936477.5784
MEM 6.664062 1750936477.6788
MEM 6.664062 1750936477.7793
MEM 6.664062 1750936477.8798
MEM 6.664062 1750936477.9804
MEM 6.664062 1750936478.0814
MEM 6.664062 1750936478.1821
MEM 6.664062 1750936478.2826
MEM 6.664062 1750936478.3829
MEM 6.664062 1750936478.4833
MEM 6.664062 1750936478.5840
MEM 6.664062 1750936478.6845
MEM 6.664062 1750936478.7849
MEM 6.664062 1750936478.8854
MEM 6.664062 1750936478.9860
MEM 6.664062 1750936479.0868
MEM 6.664062 1750936479.1874
MEM 6.664062 1750936479.2877
MEM 6.664062 1750936479.3883
MEM 6.664062 1750936479.4888
MEM 6.664062 1750936479.5894
MEM 6.664062 1750936479.6900
MEM 6.664062 1750936479.7908
MEM 6.664062 1750936479.8914
MEM 6.664062 1750936479.9918
MEM 6.664062 1750936480.0923
MEM 6.664062 1750936480.1928
MEM 6.664062 1750936480.2934
MEM 6.664062 1750936480.3937
MEM 6.664062 1750936480.4940
MEM 6.664062 1750936480.5947
MEM 6.664062 1750936480.6952
